ENSG00000269416.1	CTB-175P5.4
ENSG00000132704.11	FCRL2
ENSG00000137752.18	CASP1
ENSG00000148671.9	ADIRF
ENSG00000114698.10	PLSCR4
ENSG00000065361.10	ERBB3
ENSG00000140968.6	IRF8
ENSG00000143153.8	ATP1B1
ENSG00000181449.2	SOX2
ENSG00000111752.6	PHC1
ENSG00000157303.6	SUSD3
ENSG00000170323.4	FABP4
ENSG00000067048.12	DDX3Y
ENSG00000183723.8	CMTM4
ENSG00000152990.9	GPR125
ENSG00000132386.6	SERPINF1
ENSG00000140092.10	FBLN5
ENSG00000116574.4	RHOU
ENSG00000075213.6	SEMA3A
ENSG00000025708.8	TYMP
ENSG00000205021.9	CCL3L1
ENSG00000164879.6	CA3
ENSG00000244731.3	C4A
ENSG00000158457.4	TSPAN33
ENSG00000018625.10	ATP1A2
ENSG00000130762.10	ARHGEF16
ENSG00000177508.11	IRX3
ENSG00000073331.13	ALPK1
ENSG00000072041.12	SLC6A15
ENSG00000204287.9	HLA-DRA
ENSG00000130821.11	SLC6A8
ENSG00000099250.13	NRP1
ENSG00000082074.11	FYB
ENSG00000173585.11	CCR9
ENSG00000167613.11	LAIR1
ENSG00000162267.8	ITIH3
ENSG00000164308.12	ERAP2
ENSG00000137078.4	SIT1
ENSG00000211668.2	IGLV2-11
ENSG00000162878.8	PKDCC
ENSG00000105246.5	EBI3
ENSG00000171611.5	PTCRA
ENSG00000182487.8	NCF1B
ENSG00000125730.12	C3
ENSG00000132274.11	TRIM22
ENSG00000073792.11	IGF2BP2
ENSG00000162511.7	LAPTM5
ENSG00000125089.12	SH3TC1
ENSG00000135604.9	STX11
ENSG00000135862.5	LAMC1
ENSG00000143632.10	ACTA1
ENSG00000112559.9	MDFI
ENSG00000151702.12	FLI1
ENSG00000089472.12	HEPH
ENSG00000146904.4	EPHA1
ENSG00000084636.13	COL16A1
ENSG00000184584.8	TMEM173
ENSG00000137965.6	IFI44
ENSG00000179059.5	ZFP42
ENSG00000184293.3	CLECL1
ENSG00000136040.4	PLXNC1
ENSG00000196781.9	TLE1
ENSG00000129465.11	RIPK3
ENSG00000008441.12	NFIX
ENSG00000130768.10	SMPDL3B
ENSG00000266037.1	RN7SL3
ENSG00000134363.7	FST
ENSG00000123989.9	CHPF
ENSG00000170476.11	MZB1
ENSG00000211598.2	IGKV4-1
ENSG00000157992.8	KRTCAP3
ENSG00000120756.8	PLS1
ENSG00000104972.10	LILRB1
ENSG00000178531.4	CTXN1
ENSG00000146192.10	FGD2
ENSG00000134516.11	DOCK2
ENSG00000147168.8	IL2RG
ENSG00000102445.14	KIAA0226L
ENSG00000152601.13	MBNL1
ENSG00000108828.11	VAT1
ENSG00000204531.11	POU5F1
ENSG00000104112.4	SCG3
ENSG00000143320.4	CRABP2
ENSG00000113739.6	STC2
ENSG00000007312.8	CD79B
ENSG00000110934.6	BIN2
ENSG00000257151.1	PWAR6
ENSG00000108821.9	COL1A1
ENSG00000110848.4	CD69
ENSG00000087258.9	GNAO1
ENSG00000019582.10	CD74
ENSG00000173432.6	SAA1
ENSG00000196139.7	AKR1C3
ENSG00000110446.5	SLC15A3
ENSG00000107099.11	DOCK8
ENSG00000043355.6	ZIC2
ENSG00000174721.9	FGFBP3
ENSG00000211640.3	IGLV6-57
ENSG00000176387.6	HSD11B2
ENSG00000140416.15	TPM1
ENSG00000158485.6	CD1B
ENSG00000146242.5	TPBG
ENSG00000179178.6	TMEM125
ENSG00000024422.7	EHD2
ENSG00000196684.8	HSH2D
ENSG00000177707.6	PVRL3
ENSG00000159753.9	RLTPR
ENSG00000121594.7	CD80
ENSG00000073712.9	FERMT2
ENSG00000167083.2	GNGT2
ENSG00000151208.12	DLG5
ENSG00000213853.5	EMP2
ENSG00000162490.6	DRAXIN
ENSG00000109472.9	CPE
ENSG00000125850.6	OVOL2
ENSG00000196562.10	SULF2
ENSG00000010327.6	STAB1
ENSG00000148737.11	TCF7L2
ENSG00000135525.14	MAP7
ENSG00000135083.10	CCNJL
ENSG00000108622.6	ICAM2
ENSG00000223572.5	CKMT1A
ENSG00000082684.10	SEMA5B
ENSG00000119917.9	IFIT3
ENSG00000124225.11	PMEPA1
ENSG00000179899.7	PHC1P1
ENSG00000125354.18	SEPT6
ENSG00000028277.16	POU2F2
ENSG00000012171.13	SEMA3B
ENSG00000075043.13	KCNQ2
ENSG00000150760.8	DOCK1
ENSG00000234745.5	HLA-B
ENSG00000115267.5	IFIH1
ENSG00000213949.4	ITGA1
ENSG00000236656.1	RP11-144L1.4
ENSG00000145423.4	SFRP2
ENSG00000105419.13	MEIS3
ENSG00000064763.6	FAR2
ENSG00000124006.10	OBSL1
ENSG00000182985.12	CADM1
ENSG00000138772.8	ANXA3
ENSG00000136943.6	CTSV
ENSG00000241186.3	TDGF1
ENSG00000165795.16	NDRG2
ENSG00000169994.14	MYO7B
ENSG00000179299.12	NSUN7
ENSG00000090104.7	RGS1
ENSG00000144366.11	GULP1
ENSG00000111335.8	OAS2
ENSG00000229807.5	XIST
ENSG00000142173.10	COL6A2
ENSG00000112769.14	LAMA4
ENSG00000075391.12	RASAL2
ENSG00000109686.12	SH3D19
ENSG00000149115.9	TNKS1BP1
ENSG00000168077.9	SCARA3
ENSG00000142675.13	CNKSR1
ENSG00000206337.6	HCP5
ENSG00000066336.7	SPI1
ENSG00000101335.5	MYL9
ENSG00000144824.15	PHLDB2
ENSG00000169896.12	ITGAM
ENSG00000213860.3	RPL21P75
ENSG00000088756.8	ARHGAP28
ENSG00000159217.5	IGF2BP1
ENSG00000138685.8	FGF2
ENSG00000175745.7	NR2F1
ENSG00000176485.6	PLA2G16
ENSG00000104723.16	TUSC3
ENSG00000099954.14	CECR2
ENSG00000130702.9	LAMA5
ENSG00000085117.7	CD82
ENSG00000126264.5	HCST
ENSG00000109501.9	WFS1
ENSG00000168672.3	FAM84B
ENSG00000181885.14	CLDN7
ENSG00000178199.9	ZC3H12D
ENSG00000106789.8	CORO2A
ENSG00000177455.7	CD19
ENSG00000168685.10	IL7R
ENSG00000154856.8	APCDD1
ENSG00000130208.5	APOC1
ENSG00000095585.12	BLNK
ENSG00000165905.12	GYLTL1B
ENSG00000130147.11	SH3BP4
ENSG00000137573.9	SULF1
ENSG00000182866.12	LCK
ENSG00000128218.7	VPREB3
ENSG00000172716.12	SLFN11
ENSG00000164176.8	EDIL3
ENSG00000105655.14	ISYNA1
ENSG00000134061.4	CD180
ENSG00000240754.1	RP11-38J22.6
ENSG00000196126.6	HLA-DRB1
ENSG00000113645.9	WWC1
ENSG00000162998.4	FRZB
ENSG00000144036.10	EXOC6B
ENSG00000183486.8	MX2
ENSG00000166501.8	PRKCB
ENSG00000059804.11	SLC2A3
ENSG00000101017.9	CD40
ENSG00000174307.5	PHLDA3
ENSG00000159251.6	ACTC1
ENSG00000180190.7	TDRP
ENSG00000104368.13	PLAT
ENSG00000100604.8	CHGA
ENSG00000204580.7	DDR1
ENSG00000101004.10	NINL
ENSG00000270246.2	SNORD109A
ENSG00000188322.4	SBK1
ENSG00000074657.9	ZNF532
ENSG00000234184.1	RP5-887A10.1
ENSG00000136014.7	USP44
ENSG00000103522.11	IL21R
ENSG00000182871.10	COL18A1
ENSG00000069424.10	KCNAB2
ENSG00000205436.3	EXOC3L4
ENSG00000152137.2	HSPB8
ENSG00000166741.3	NNMT
ENSG00000059377.11	TBXAS1
ENSG00000197461.9	PDGFA
ENSG00000247774.2	PCED1B-AS1
ENSG00000118508.4	RAB32
ENSG00000204257.10	HLA-DMA
ENSG00000188157.9	AGRN
ENSG00000163359.11	COL6A3
ENSG00000120280.5	CXorf21
ENSG00000134242.11	PTPN22
ENSG00000148468.12	FAM171A1
ENSG00000074047.16	GLI2
ENSG00000146094.9	DOK3
ENSG00000211651.2	IGLV1-44
ENSG00000093072.11	CECR1
ENSG00000157110.11	RBPMS
ENSG00000147862.10	NFIB
ENSG00000165912.11	PACSIN3
ENSG00000165617.10	DACT1
ENSG00000137267.5	TUBB2A
ENSG00000182179.6	UBA7
ENSG00000251546.1	IGKV1D-39
ENSG00000175445.10	LPL
ENSG00000105122.8	RASAL3
ENSG00000104067.12	TJP1
ENSG00000028137.12	TNFRSF1B
ENSG00000188820.8	FAM26F
ENSG00000211934.2	IGHV1-2
ENSG00000197142.6	ACSL5
ENSG00000129277.9	CCL4
ENSG00000167771.5	RCOR2
ENSG00000154589.2	LY96
ENSG00000104921.10	FCER2
ENSG00000185222.7	WBP5
ENSG00000249430.1	CTD-2231H16.1
ENSG00000128849.9	CGNL1
ENSG00000197565.11	COL4A6
ENSG00000171724.2	VAT1L
ENSG00000196878.8	LAMB3
ENSG00000166426.7	CRABP1
ENSG00000145850.4	TIMD4
ENSG00000131142.9	CCL25
ENSG00000137077.3	CCL21
ENSG00000185862.5	EVI2B
ENSG00000165215.5	CLDN3
ENSG00000102038.11	SMARCA1
ENSG00000105255.6	FSD1
ENSG00000173898.7	SPTBN2
ENSG00000233056.1	ERVH48-1
ENSG00000211666.2	IGLV2-14
ENSG00000163251.3	FZD5
ENSG00000121552.3	CSTA
ENSG00000063660.4	GPC1
ENSG00000189143.8	CLDN4
ENSG00000168646.8	AXIN2
ENSG00000006075.11	CCL3
ENSG00000115935.12	WIPF1
ENSG00000198729.4	PPP1R14C
ENSG00000146674.10	IGFBP3
ENSG00000117091.5	CD48
ENSG00000008394.8	MGST1
ENSG00000112561.13	TFEB
ENSG00000113657.8	DPYSL3
ENSG00000156687.6	UNC5D
ENSG00000035720.3	STAP1
ENSG00000161249.16	DMKN
ENSG00000000938.8	FGR
ENSG00000005884.13	ITGA3
ENSG00000067066.12	SP100
ENSG00000135097.2	MSI1
ENSG00000237289.5	CKMT1B
ENSG00000239839.1	DEFA3
ENSG00000165434.6	PGM2L1
ENSG00000167644.7	C19orf33
ENSG00000177409.7	SAMD9L
ENSG00000149257.9	SERPINH1
ENSG00000160200.13	CBS
ENSG00000081237.14	PTPRC
ENSG00000126803.8	HSPA2
ENSG00000101210.6	EEF1A2
ENSG00000173762.3	CD7
ENSG00000115956.9	PLEK
ENSG00000154059.5	IMPACT
ENSG00000174233.7	ADCY6
ENSG00000157570.7	TSPAN18
ENSG00000056487.11	PHF21B
ENSG00000006042.7	TMEM98
ENSG00000074219.9	TEAD2
ENSG00000196966.3	HIST1H3E
ENSG00000056998.14	GYG2
ENSG00000179344.12	HLA-DQB1
ENSG00000092445.7	TYRO3
ENSG00000136160.10	EDNRB
ENSG00000211653.2	IGLV1-40
ENSG00000101871.10	MID1
ENSG00000196141.8	SPATS2L
ENSG00000172889.11	EGFL7
ENSG00000174083.13	PIK3R6
ENSG00000205020.7	CCL4L1
ENSG00000129422.9	MTUS1
ENSG00000117090.10	SLAMF1
ENSG00000109576.9	AADAT
ENSG00000142765.13	SYTL1
ENSG00000164877.14	MICALL2
ENSG00000140859.11	KIFC3
ENSG00000143416.16	SELENBP1
ENSG00000198959.7	TGM2
ENSG00000170775.2	GPR37
ENSG00000153904.14	DDAH1
ENSG00000254339.1	RP11-267L5.1
ENSG00000006468.9	ETV1
ENSG00000065357.15	DGKA
ENSG00000168758.6	SEMA4C
ENSG00000057019.11	DCBLD2
ENSG00000227184.3	EPPK1
ENSG00000077009.9	NMRK2
ENSG00000128641.13	MYO1B
ENSG00000100365.10	NCF4
ENSG00000243004.1	AC005062.2
ENSG00000158050.4	DUSP2
ENSG00000185847.3	RP1-46F2.2
ENSG00000156127.6	BATF
ENSG00000115414.14	FN1
ENSG00000117228.9	GBP1
ENSG00000180448.6	HMHA1
ENSG00000187243.12	MAGED4B
ENSG00000172380.5	GNG12
ENSG00000112655.11	PTK7
ENSG00000141447.12	OSBPL1A
ENSG00000166165.8	CKB
ENSG00000249532.2	MIR302B
ENSG00000139800.8	ZIC5
ENSG00000137101.8	CD72
ENSG00000178685.9	PARP10
ENSG00000167244.13	IGF2
ENSG00000062038.9	CDH3
ENSG00000166265.7	CYYR1
ENSG00000137501.12	SYTL2
ENSG00000105851.6	PIK3CG
ENSG00000215788.5	TNFRSF25
ENSG00000085733.11	CTTN
ENSG00000187244.6	BCAM
ENSG00000108950.7	FAM20A
ENSG00000092068.14	SLC7A8
ENSG00000163563.7	MNDA
ENSG00000255594.1	Z82188.1
ENSG00000132185.12	FCRLA
ENSG00000128965.7	CHAC1
ENSG00000110092.3	CCND1
ENSG00000103855.13	CD276
ENSG00000186088.11	GSAP
ENSG00000173210.15	ABLIM3
ENSG00000106066.9	CPVL
ENSG00000119938.8	PPP1R3C
ENSG00000162894.7	FAIM3
ENSG00000231389.3	HLA-DPA1
ENSG00000166900.10	STX3
ENSG00000106078.13	COBL
ENSG00000173482.12	PTPRM
ENSG00000143768.7	LEFTY2
ENSG00000175463.7	TBC1D10C
ENSG00000169750.4	RAC3
ENSG00000006327.9	TNFRSF12A
ENSG00000077274.7	CAPN6
ENSG00000166033.7	HTRA1
ENSG00000128045.5	RASL11B
ENSG00000157601.9	MX1
ENSG00000182704.6	TSKU
ENSG00000188153.8	COL4A5
ENSG00000258947.2	TUBB3
ENSG00000185483.7	ROR1
ENSG00000134323.10	MYCN
ENSG00000175832.8	ETV4
ENSG00000131401.7	NAPSB
ENSG00000011566.10	MAP4K3
ENSG00000102524.7	TNFSF13B
ENSG00000135919.8	SERPINE2
ENSG00000030419.12	IKZF2
ENSG00000198821.6	CD247
ENSG00000105974.7	CAV1
ENSG00000074527.7	NTN4
ENSG00000137273.3	FOXF2
ENSG00000196526.6	AFAP1
ENSG00000139044.6	B4GALNT3
ENSG00000104894.7	CD37
ENSG00000164076.12	CAMKV
ENSG00000112378.11	PERP
ENSG00000226979.4	LTA
ENSG00000163687.9	DNASE1L3
ENSG00000140030.4	GPR65
ENSG00000162458.8	FBLIM1
ENSG00000211896.2	IGHG1
ENSG00000184344.3	GDF3
ENSG00000253230.2	LINC00599
ENSG00000270466.1	SEPT1
ENSG00000134247.9	PTGFRN
ENSG00000134013.11	LOXL2
ENSG00000241351.1	IGKV3-11
ENSG00000198467.9	TPM2
ENSG00000115641.14	FHL2
ENSG00000204161.9	C10orf128
ENSG00000173267.9	SNCG
ENSG00000167600.9	CYP2S1
ENSG00000178363.3	CALML3
ENSG00000100097.7	LGALS1
ENSG00000168961.12	LGALS9
ENSG00000162522.6	KIAA1522
ENSG00000164691.12	TAGAP
ENSG00000006047.8	YBX2
ENSG00000137693.9	YAP1
ENSG00000092758.11	COL9A3
ENSG00000196533.6	C1orf186
ENSG00000204482.6	LST1
ENSG00000142949.12	PTPRF
ENSG00000141696.8	LEPREL4
ENSG00000088882.7	CPXM1
ENSG00000196664.4	TLR7
ENSG00000141401.7	IMPA2
ENSG00000181019.8	NQO1
ENSG00000133026.8	MYH10
ENSG00000004399.8	PLXND1
ENSG00000121900.14	TMEM54
ENSG00000164626.8	KCNK5
ENSG00000111679.12	PTPN6
ENSG00000240801.1	AC132217.4
ENSG00000129474.11	AJUBA
ENSG00000197540.3	GZMM
ENSG00000189221.5	MAOA
ENSG00000137142.4	IGFBPL1
ENSG00000163131.6	CTSS
ENSG00000099284.9	H2AFY2
ENSG00000156966.6	B3GNT7
ENSG00000172183.10	ISG20
ENSG00000255192.3	NANOGP8
ENSG00000254087.3	LYN
ENSG00000196411.5	EPHB4
ENSG00000026103.15	FAS
ENSG00000135426.10	TESPA1
ENSG00000142156.10	COL6A1
ENSG00000170745.7	KCNS3
ENSG00000138336.8	TET1
ENSG00000135063.13	FAM189A2
ENSG00000080503.15	SMARCA2
ENSG00000169169.10	CPT1C
ENSG00000182809.6	CRIP2
ENSG00000006118.10	TMEM132A
ENSG00000129038.11	LOXL1
ENSG00000152952.7	PLOD2
ENSG00000104611.7	SH2D4A
ENSG00000060718.14	COL11A1
ENSG00000163430.5	FSTL1
ENSG00000050165.13	DKK3
ENSG00000167693.12	NXN
ENSG00000074181.4	NOTCH3
ENSG00000197632.4	SERPINB2
ENSG00000087245.8	MMP2
ENSG00000179583.13	CIITA
ENSG00000152689.13	RASGRP3
ENSG00000189377.4	CXCL17
ENSG00000187867.4	PALM3
ENSG00000138759.13	FRAS1
ENSG00000008311.10	AASS
ENSG00000163435.11	ELF3
ENSG00000167895.10	TMC8
ENSG00000023445.9	BIRC3
ENSG00000248329.1	RP11-366M4.3
ENSG00000130775.11	THEMIS2
ENSG00000249751.1	ECSCR
ENSG00000196092.8	PAX5
ENSG00000105290.7	APLP1
ENSG00000084207.11	GSTP1
ENSG00000141968.3	VAV1
ENSG00000170627.5	GTSF1
ENSG00000170421.7	KRT8
ENSG00000064687.8	ABCA7
ENSG00000162711.12	NLRP3
ENSG00000169242.7	EFNA1
ENSG00000165168.6	CYBB
ENSG00000260266.1	CTD-2311M21.2
ENSG00000254934.1	LINC00678
ENSG00000158488.11	CD1E
ENSG00000172081.9	MOB3A
ENSG00000158747.9	NBL1
ENSG00000086730.12	LAT2
ENSG00000196950.9	SLC39A10
ENSG00000115085.9	ZAP70
ENSG00000115963.9	RND3
ENSG00000067445.16	TRO
ENSG00000092421.12	SEMA6A
ENSG00000147255.13	IGSF1
ENSG00000109255.7	NMU
ENSG00000089327.10	FXYD5
ENSG00000164093.11	PITX2
ENSG00000267383.2	CTC-260E6.6
ENSG00000114739.9	ACVR2B
ENSG00000167191.7	GPRC5B
ENSG00000198363.11	ASPH
ENSG00000253701.1	AL928768.3
ENSG00000155629.10	PIK3AP1
ENSG00000084628.5	NKAIN1
ENSG00000083307.6	GRHL2
ENSG00000132698.9	RAB25
ENSG00000177469.12	PTRF
ENSG00000138119.12	MYOF
ENSG00000088367.16	EPB41L1
ENSG00000162777.12	DENND2D
ENSG00000186818.8	LILRB4
ENSG00000186493.7	C5orf38
ENSG00000231486.3	AC096579.7
ENSG00000106537.7	TSPAN13
ENSG00000087510.5	TFAP2C
ENSG00000119280.12	C1orf198
ENSG00000137767.9	SQRDL
ENSG00000166173.9	LARP6
ENSG00000067141.12	NEO1
ENSG00000189060.4	H1F0
ENSG00000142871.11	CYR61
ENSG00000187498.10	COL4A1
ENSG00000167851.9	CD300A
ENSG00000253522.2	MIR146A
ENSG00000135447.12	PPP1R1A
ENSG00000001617.7	SEMA3F
ENSG00000135750.10	KCNK1
ENSG00000161929.10	SCIMP
ENSG00000143061.13	IGSF3
ENSG00000106992.13	AK1
ENSG00000173200.8	PARP15
ENSG00000166352.11	C11orf74
ENSG00000137801.9	THBS1
ENSG00000165025.10	SYK
ENSG00000011426.6	ANLN
ENSG00000072832.10	CRMP1
ENSG00000115380.14	EFEMP1
ENSG00000110876.8	SELPLG
ENSG00000184922.9	FMNL1
ENSG00000181617.5	FDCSP
ENSG00000176887.5	SOX11
ENSG00000197321.10	SVIL
ENSG00000128052.8	KDR
ENSG00000142449.8	FBN3
ENSG00000127951.5	FGL2
ENSG00000122862.4	SRGN
ENSG00000103449.7	SALL1
ENSG00000125170.6	DOK4
ENSG00000153250.13	RBMS1
ENSG00000241163.3	LINC00877
ENSG00000103811.11	CTSH
ENSG00000133636.6	NTS
ENSG00000269897.1	COMMD3-BMI1
ENSG00000072818.7	ACAP1
ENSG00000130303.8	BST2
ENSG00000168671.5	UGT3A2
ENSG00000113580.10	NR3C1
ENSG00000126878.8	AIF1L
ENSG00000136653.15	RASSF5
ENSG00000102760.12	RGCC
ENSG00000151458.7	ANKRD50
ENSG00000076662.5	ICAM3
ENSG00000139835.9	GRTP1
ENSG00000168394.9	TAP1
ENSG00000089127.8	OAS1
ENSG00000140678.12	ITGAX
ENSG00000171345.9	KRT19
ENSG00000115884.6	SDC1
ENSG00000166250.7	CLMP
ENSG00000065413.12	ANKRD44
ENSG00000157227.8	MMP14
ENSG00000168542.8	COL3A1
ENSG00000101443.13	WFDC2
ENSG00000197747.4	S100A10
ENSG00000151718.11	WWC2
ENSG00000101115.8	SALL4
ENSG00000124839.8	RAB17
ENSG00000135111.10	TBX3
ENSG00000003436.10	TFPI
ENSG00000168280.12	KIF5C
ENSG00000224373.2	IGHV4-59
ENSG00000130176.3	CNN1
ENSG00000165949.8	IFI27
ENSG00000154277.8	UCHL1
ENSG00000103044.6	HAS3
ENSG00000197471.7	SPN
ENSG00000234883.2	MIR155HG
ENSG00000139329.4	LUM
ENSG00000003989.12	SLC7A2
ENSG00000205726.9	ITSN1
ENSG00000154734.10	ADAMTS1
ENSG00000211772.4	TRBC2
ENSG00000066735.10	KIF26A
ENSG00000161714.7	PLCD3
ENSG00000104332.7	SFRP1
ENSG00000170561.8	IRX2
ENSG00000169442.4	CD52
ENSG00000172020.8	GAP43
ENSG00000171608.11	PIK3CD
ENSG00000196616.8	ADH1B
ENSG00000175567.4	UCP2
ENSG00000211898.3	IGHD
ENSG00000176907.3	C8orf4
ENSG00000112852.4	PCDHB2
ENSG00000142347.12	MYO1F
ENSG00000050820.12	BCAR1
ENSG00000260655.1	CTA-250D10.23
ENSG00000119888.6	EPCAM
ENSG00000107731.8	UNC5B
ENSG00000101336.8	HCK
ENSG00000240563.1	L1TD1
ENSG00000142910.11	TINAGL1
ENSG00000153707.11	PTPRD
ENSG00000103067.7	ESRP2
ENSG00000065534.14	MYLK
ENSG00000118308.10	LRMP
ENSG00000232445.1	RP11-132A1.4
ENSG00000056558.6	TRAF1
ENSG00000164434.7	FABP7
ENSG00000106484.10	MEST
ENSG00000128567.12	PODXL
ENSG00000213494.5	CCL14
ENSG00000162512.11	SDC3
ENSG00000147869.4	CER1
ENSG00000135047.10	CTSL
ENSG00000007866.14	TEAD3
ENSG00000153898.8	MCOLN2
ENSG00000227507.2	LTB
ENSG00000076641.4	PAG1
ENSG00000176842.10	IRX5
ENSG00000183087.10	GAS6
ENSG00000113319.7	RASGRF2
ENSG00000084070.7	SMAP2
ENSG00000139626.11	ITGB7
ENSG00000139289.9	PHLDA1
ENSG00000134802.13	SLC43A3
ENSG00000132640.10	BTBD3
ENSG00000065054.9	SLC9A3R2
ENSG00000147027.3	TMEM47
ENSG00000166831.4	RBPMS2
ENSG00000084731.9	KIF3C
ENSG00000123080.6	CDKN2C
ENSG00000130202.5	PVRL2
ENSG00000039560.9	RAI14
ENSG00000254709.2	IGLL5
ENSG00000095739.7	BAMBI
ENSG00000172830.8	SSH3
ENSG00000139926.11	FRMD6
ENSG00000068079.3	IFI35
ENSG00000183160.8	TMEM119
ENSG00000168484.8	SFTPC
ENSG00000126822.11	PLEKHG3
ENSG00000160963.9	COL26A1
ENSG00000176092.9	AIM1L
ENSG00000077942.13	FBLN1
ENSG00000111799.16	COL12A1
ENSG00000141404.11	GNAL
ENSG00000104814.8	MAP4K1
ENSG00000049130.9	KITLG
ENSG00000106366.7	SERPINE1
ENSG00000131016.12	AKAP12
ENSG00000105894.7	PTN
ENSG00000143851.11	PTPN7
ENSG00000131037.10	EPS8L1
ENSG00000076716.7	GPC4
ENSG00000105369.5	CD79A
ENSG00000123338.8	NCKAP1L
ENSG00000121966.6	CXCR4
ENSG00000153071.10	DAB2
ENSG00000225889.3	AC074289.1
ENSG00000136573.8	BLK
ENSG00000175029.12	CTBP2
ENSG00000167207.7	NOD2
ENSG00000198851.5	CD3E
ENSG00000224078.8	SNHG14
ENSG00000159403.11	C1R
ENSG00000211966.2	IGHV5-51
ENSG00000022267.12	FHL1
ENSG00000157985.13	AGAP1
ENSG00000143119.8	CD53
ENSG00000165178.8	NCF1C
ENSG00000125245.8	GPR18
ENSG00000138162.13	TACC2
ENSG00000104783.7	KCNN4
ENSG00000111057.6	KRT18
ENSG00000139194.3	RBP5
ENSG00000052344.11	PRSS8
ENSG00000196954.8	CASP4
