chrom_start_end	Annotation
chr10_114215000_114215200	1_TssA
chr5_65373000_65375000	4_Tx
chr18_77342000_77342800	9_Het
chr8_126445800_126448400	3_TxFlnk
chr9_131159200_131159800	13_ReprPC
chr10_134638200_134642000	9_Het
chr12_62943000_62945800	4_Tx
chr4_145975800_145976600	4_Tx
chr3_160227200_160230000	5_TxWk
chr16_69758600_69759600	2_TssAFlnk
chr18_77170600_77171000	5_TxWk
chr4_71558400_71558600	2_TssAFlnk
chr18_12873000_12875600	5_TxWk
chr7_152033800_152034200	7_Enh
chr4_148668800_148669200	5_TxWk
chr12_104275600_104276400	7_Enh
chr15_86264200_86267600	4_Tx
chr17_7217400_7217600	3_TxFlnk
chr1_66809400_66810000	7_Enh
chr2_216879200_216879600	5_TxWk
chr8_129106800_129107200	6_EnhG
chr9_132359400_132360000	1_TssA
chr2_169569600_169570400	5_TxWk
chr6_7872600_7874800	9_Het
chr17_46234400_46239600	5_TxWk
chr11_36438800_36457200	15_Quies
chr17_26901000_26902400	6_EnhG
chr5_130583400_130585400	7_Enh
chr10_126437600_126438400	2_TssAFlnk
chr11_118087200_118088200	2_TssAFlnk
chr1_78392000_78393000	1_TssA
chr14_70160000_70161000	7_Enh
chr14_65438200_65438400	2_TssAFlnk
chr9_130253400_130255800	5_TxWk
chr7_77304200_77304400	7_Enh
chr2_23668000_23668800	7_Enh
chr6_111858000_111859000	7_Enh
chr18_18680600_18681000	2_TssAFlnk
chr19_15530600_15533800	5_TxWk
chr19_39967600_39970800	5_TxWk
chr4_76596000_76596800	2_TssAFlnk
chr15_80306000_80306600	15_Quies
chr3_179677000_179677200	7_Enh
chr8_19597000_19597800	9_Het
chr8_77901000_77901200	6_EnhG
chr17_60242600_60243000	2_TssAFlnk
chr3_156007800_156010000	13_ReprPC
chr11_63578600_63580000	15_Quies
chr1_8156600_8158400	2_TssAFlnk
chr17_4787600_4789800	4_Tx
chr17_27371400_27375200	5_TxWk
chr19_35936600_35939000	7_Enh
chr6_142993000_142993200	2_TssAFlnk
chr13_73387400_73388200	4_Tx
chr3_127605600_127606000	15_Quies
chr3_194884200_194885800	5_TxWk
chr11_67857200_67857600	4_Tx
chr22_43586200_43588000	9_Het
chr18_9080400_9082600	5_TxWk
chr11_117693600_117695000	7_Enh
chr7_22671600_22677800	14_ReprPCWk
chr11_79192000_79192400	7_Enh
chr3_124370200_124370800	7_Enh
chr2_143698400_143705000	5_TxWk
chrX_1663600_1665600	9_Het
chr10_101762000_101762200	5_TxWk
chr15_81318400_81318600	2_TssAFlnk
chr15_82158400_82159200	2_TssAFlnk
chr14_93241000_93243000	7_Enh
chr2_242271800_242272400	6_EnhG
chr15_33153800_33154000	2_TssAFlnk
chr5_75712200_75721600	15_Quies
chr20_60862600_60868400	5_TxWk
chr6_30921000_30922600	5_TxWk
chr6_28566000_28574200	15_Quies
chr15_52674800_52676000	2_TssAFlnk
chr4_112188200_112188400	7_Enh
chr19_40331600_40332000	6_EnhG
chr3_75908200_75914600	15_Quies
chr4_154301000_154301400	5_TxWk
chr2_171622200_171626000	5_TxWk
chr10_21802600_21805000	14_ReprPCWk
chr1_63942400_63955600	5_TxWk
chr20_62170000_62170600	7_Enh
chr8_48282800_48289800	5_TxWk
chr19_12404000_12404400	2_TssAFlnk
chr8_126118000_126122400	5_TxWk
chr17_70321000_70321400	5_TxWk
chr13_21793400_21793800	1_TssA
chr2_103420400_103533000	15_Quies
chr2_85826200_85828800	5_TxWk
chr16_13485200_13487000	7_Enh
chr1_84159000_84159600	7_Enh
chr19_10706800_10707600	7_Enh
chr8_124540800_124542200	5_TxWk
chr21_47705200_47707400	1_TssA
chr17_37747600_37754200	14_ReprPCWk
chr10_52407600_52408000	2_TssAFlnk
chr10_24808800_24809400	7_Enh
chr13_111508000_111508400	15_Quies
chr4_76983200_77005800	14_ReprPCWk
chr1_154981000_154981200	2_TssAFlnk
chr7_92519000_92527200	15_Quies
chr10_115607200_115607400	6_EnhG
chr16_75063400_75065000	7_Enh
chr7_114613800_114617600	15_Quies
chrX_77764200_77770800	15_Quies
chr3_196647800_196656000	5_TxWk
chr4_36253600_36257000	7_Enh
chr12_54363400_54365400	14_ReprPCWk
chr6_116819400_116820000	13_ReprPC
chr2_203578200_203581000	15_Quies
chr1_236228400_236230200	2_TssAFlnk
chr20_36551200_36551800	7_Enh
chr9_127726400_127726600	7_Enh
chr18_22745800_22770200	15_Quies
chr1_197746200_197746600	2_TssAFlnk
chr9_134603200_134603400	1_TssA
chr11_66792600_66793000	7_Enh
chr13_24034600_24035400	2_TssAFlnk
chr8_8141400_8141800	1_TssA
chr17_235200_235400	11_BivFlnk
chr4_76012800_76013200	7_Enh
chr7_70197400_70198000	7_Enh
chr2_172367200_172368800	7_Enh
chr16_53144800_53146200	2_TssAFlnk
chr12_117301200_117315200	14_ReprPCWk
chr13_34253000_34253400	2_TssAFlnk
chr6_170866200_170867400	5_TxWk
chr12_53084000_53085000	13_ReprPC
chr19_2432600_2437200	5_TxWk
chr14_22647600_22648800	13_ReprPC
chr8_119121000_119121200	1_TssA
chr20_4754600_4760600	15_Quies
chr15_76602800_76604000	1_TssA
chr19_12944200_12944800	13_ReprPC
chr1_219255400_219256200	7_Enh
chr1_100900800_100905800	5_TxWk
chr6_32156800_32158600	1_TssA
chr9_123958200_123958400	1_TssA
chr17_17115400_17117200	4_Tx
chr9_38388800_38389000	15_Quies
chr3_184643600_184644400	5_TxWk
chr7_40350800_40351000	2_TssAFlnk
chr9_131799600_131800800	2_TssAFlnk
chr6_44378600_44384800	4_Tx
chr10_46079600_46085400	9_Het
chr1_213567600_213580800	14_ReprPCWk
chr8_58491400_58491600	7_Enh
chr14_34011400_34012400	7_Enh
chr12_12036000_12038200	6_EnhG
chr16_85916600_85917000	7_Enh
chr19_50527800_50529400	1_TssA
chr19_42925200_42925600	5_TxWk
chr16_66969200_66970400	2_TssAFlnk
chr2_45179800_45180200	11_BivFlnk
chr17_20102000_20102200	7_Enh
chr15_42387200_42397600	14_ReprPCWk
chr2_114660600_114660800	3_TxFlnk
chr11_22640200_22642400	9_Het
chr8_102978600_102982200	15_Quies
chr1_5825400_5833200	14_ReprPCWk
chr6_24883400_24884400	2_TssAFlnk
chr19_8316400_8320800	5_TxWk
chr6_46144600_46147800	14_ReprPCWk
chr13_33017600_33018600	2_TssAFlnk
chrX_154295600_154301200	1_TssA
chr9_89964800_89988400	15_Quies
chr14_35595600_35596000	1_TssA
chr3_152051400_152051600	2_TssAFlnk
chr14_103643200_103643600	7_Enh
chr1_87079200_87080800	9_Het
chr17_41661200_41665200	15_Quies
chr1_246784000_246786000	4_Tx
chr5_67861800_67863000	9_Het
chr21_45774600_45775800	2_TssAFlnk
chr7_3020600_3020800	2_TssAFlnk
chr10_77327400_77330800	15_Quies
chr12_4287600_4288400	2_TssAFlnk
chrX_78361600_78362600	9_Het
chr3_112179600_112179800	2_TssAFlnk
chr2_207222800_207225000	5_TxWk
chr2_172255800_172256000	7_Enh
chr3_61505200_61506400	5_TxWk
chr2_37849400_37849800	7_Enh
chr12_42719000_42721200	1_TssA
chr9_80826600_80834000	15_Quies
chr2_69662000_69662600	7_Enh
chr12_52615800_52616000	11_BivFlnk
chr5_80875600_80894200	5_TxWk
chr4_47869400_47873400	5_TxWk
chr8_105291600_105292400	2_TssAFlnk
chr10_60126200_60132200	5_TxWk
chr17_3814000_3814200	2_TssAFlnk
chr8_110305400_110305800	7_Enh
chr3_172467800_172472600	1_TssA
chr19_48110200_48110400	7_Enh
chr6_119400000_119400400	11_BivFlnk
chr17_75457400_75458200	2_TssAFlnk
chr18_44473600_44474600	7_Enh
chr17_62596000_62604800	15_Quies
chr10_16837400_16838400	6_EnhG
chr2_135400000_135400400	2_TssAFlnk
chr2_174296600_174297000	12_EnhBiv
chrX_129092400_129092600	7_Enh
chr3_11887000_11888800	1_TssA
chr10_5661000_5662000	13_ReprPC
chr10_22009800_22012800	5_TxWk
chr13_33332200_33335000	4_Tx
chr7_31130000_31190400	15_Quies
chr19_24284200_24285000	8_ZNF/Rpts
chr14_68347400_68347800	7_Enh
chr11_3078800_3079000	2_TssAFlnk
chr7_74097600_74098800	4_Tx
chr12_53895400_53896200	2_TssAFlnk
chr11_67142000_67142600	12_EnhBiv
chr19_8995400_8997600	15_Quies
chr10_123477600_123494800	15_Quies
chr8_1410200_1413000	9_Het
chr11_128599800_128600000	2_TssAFlnk
chr1_181997600_181999600	1_TssA
chr21_46334000_46334400	2_TssAFlnk
chr8_8994600_8995600	7_Enh
chr7_468600_470600	9_Het
chr3_136973800_137036800	15_Quies
chr4_78047400_78049600	7_Enh
chrX_19792000_19792200	1_TssA
chr19_19562000_19564200	7_Enh
chr13_109885600_109886200	7_Enh
chr1_155338000_155340800	4_Tx
chr16_57563800_57564600	2_TssAFlnk
chr2_232046000_232046600	7_Enh
chr16_85956600_85956800	4_Tx
chr6_20407200_20407600	2_TssAFlnk
chr10_102922000_102923800	14_ReprPCWk
chr21_43434600_43435400	9_Het
chr8_61913200_61916800	5_TxWk
chr19_38592600_38594600	5_TxWk
chr1_41447600_41448000	2_TssAFlnk
chr1_66767400_66769000	7_Enh
chr2_47206000_47206200	2_TssAFlnk
chr4_151748000_151749000	6_EnhG
chrX_11787000_11787400	1_TssA
chr14_77642200_77647600	14_ReprPCWk
chr7_141250400_141251000	2_TssAFlnk
chr1_52673400_52681200	15_Quies
chr16_53301600_53304600	5_TxWk
chr2_100721800_100722400	12_EnhBiv
chr6_167405800_167406600	4_Tx
chr2_85122600_85123800	5_TxWk
chr14_75607800_75608000	2_TssAFlnk
chr7_57957800_57958000	8_ZNF/Rpts
chr12_127651000_127651400	9_Het
chr13_30332600_30332800	7_Enh
chr6_56677600_56678200	5_TxWk
chr2_213933800_213936800	4_Tx
chr16_66860600_66861000	6_EnhG
chr10_105237200_105250200	15_Quies
chr15_61521800_61522800	13_ReprPC
chr16_27325000_27325800	1_TssA
chr13_30815200_30815600	5_TxWk
chr8_133462800_133463800	9_Het
chr1_236766400_236766800	2_TssAFlnk
chr17_70114800_70116400	10_TssBiv
chr2_41962800_41964000	7_Enh
chr4_75600800_75714200	15_Quies
chr19_42775800_42776000	7_Enh
chr8_29664200_29689000	15_Quies
chr20_62289000_62290600	1_TssA
chr6_52048400_52049000	7_Enh
chr2_233740400_233740600	11_BivFlnk
chr11_74954200_74956200	13_ReprPC
chr6_25245400_25251200	15_Quies
chr4_128616200_128616600	9_Het
chr4_86278000_86302000	14_ReprPCWk
chr14_77532800_77535000	7_Enh
chr19_12203000_12204200	1_TssA
chr5_139914400_139915000	6_EnhG
chr4_38406400_38411000	15_Quies
chr12_26216200_26223800	14_ReprPCWk
chr2_40608200_40609000	15_Quies
chr1_42380000_42380200	15_Quies
chr11_68823800_68825200	7_Enh
chr19_41147000_41149400	5_TxWk
chr12_88519400_88534400	5_TxWk
chr9_126936000_126936200	5_TxWk
chr1_78048600_78048800	7_Enh
chr16_90023400_90024600	5_TxWk
chr1_42921600_42921800	1_TssA
chr6_40551200_40553800	14_ReprPCWk
chr19_52160400_52160800	7_Enh
chr6_37072000_37072400	5_TxWk
chrX_112064800_112065400	14_ReprPCWk
chr2_160791000_160791600	7_Enh
chr4_154462400_154462600	7_Enh
chr2_98431000_98433600	5_TxWk
chr7_107910600_107911000	2_TssAFlnk
chr6_31129200_31130000	6_EnhG
chr10_95263600_95263800	7_Enh
chr6_90018600_90019000	7_Enh
chr2_23607400_23607800	2_TssAFlnk
chr1_170216800_170217200	7_Enh
chr7_32043400_32073400	15_Quies
chr6_136167000_136172600	15_Quies
chr17_15919600_15920400	4_Tx
chr7_144495600_144497400	9_Het
chr13_46537000_46538200	4_Tx
chr7_138757000_138757800	6_EnhG
chr11_130379200_130393200	15_Quies
chr11_134132400_134140000	5_TxWk
chr1_116314000_116314400	7_Enh
chr8_135620200_135620400	7_Enh
chr4_190988600_190989000	8_ZNF/Rpts
chr10_73594600_73595000	5_TxWk
chr15_99308200_99316400	14_ReprPCWk
chr2_197788000_197788400	1_TssA
chr7_22056200_22056400	7_Enh
chr11_119681200_119681800	7_Enh
chr22_20072400_20073400	5_TxWk
chr12_434800_435200	5_TxWk
chr3_193924200_193939600	15_Quies
chr11_58332400_58332600	6_EnhG
chr1_24814800_24815200	8_ZNF/Rpts
chr11_47598400_47599000	6_EnhG
chr20_20788600_20805400	15_Quies
chr3_4625800_4627000	2_TssAFlnk
chr6_15544800_15547000	9_Het
chr14_54510600_54510800	7_Enh
chr2_120456200_120460600	5_TxWk
chr11_123387200_123387800	7_Enh
chr1_84025400_84047400	15_Quies
chr12_125126400_125130600	14_ReprPCWk
chr9_5559000_5559600	7_Enh
chr1_86367000_86409200	15_Quies
chr11_17375000_17375400	1_TssA
chr14_98033600_98081400	15_Quies
chr15_83733000_83736200	1_TssA
chr6_88167000_88182000	14_ReprPCWk
chr8_9521000_9522200	9_Het
chr10_31320400_31321600	1_TssA
chr4_39439000_39444600	14_ReprPCWk
chr17_80567600_80591400	4_Tx
chr3_3101200_3107800	15_Quies
chr12_111820800_111826600	14_ReprPCWk
chr14_64662600_64663200	7_Enh
chr3_15467800_15468400	2_TssAFlnk
chr10_8146600_8173000	14_ReprPCWk
chr4_105923400_105924800	9_Het
chr6_51324400_51324600	7_Enh
chr5_130711400_130711600	3_TxFlnk
chr3_170813200_170814200	6_EnhG
chr18_36302000_36322200	15_Quies
chr5_77823400_77825800	5_TxWk
chr19_30251800_30252400	5_TxWk
chr3_57749400_57750200	6_EnhG
chr10_121701800_121706600	5_TxWk
chr8_101193800_101194200	7_Enh
chr20_58517600_58519000	5_TxWk
chr7_105697400_105698400	2_TssAFlnk
chr22_25341000_25348000	14_ReprPCWk
chr5_167744000_167744400	5_TxWk
chr2_185317800_185318200	2_TssAFlnk
chr1_231554400_231554600	3_TxFlnk
chr1_12230800_12231400	7_Enh
chr2_132339200_132339600	2_TssAFlnk
chr3_67713800_67715800	15_Quies
chr20_61806400_61807200	14_ReprPCWk
chr2_25501800_25502600	2_TssAFlnk
chr2_209160000_209160600	7_Enh
chr9_3585400_3591000	9_Het
chr2_131060800_131061200	2_TssAFlnk
chr10_119147400_119154800	14_ReprPCWk
chr5_90574200_90575000	5_TxWk
chr17_16348400_16351800	4_Tx
chr4_25242800_25247000	5_TxWk
chr4_177246200_177246800	7_Enh
chr18_31281200_31281600	2_TssAFlnk
chr3_172291600_172292800	9_Het
chr14_89509600_89585400	15_Quies
chr17_77734600_77741400	15_Quies
chr15_75080200_75080400	1_TssA
chr7_156613400_156613800	4_Tx
chr1_115616000_115616200	7_Enh
chr17_7826600_7827600	7_Enh
chr11_10633800_10644800	14_ReprPCWk
chr7_150135000_150139600	8_ZNF/Rpts
chr17_39874400_39875000	13_ReprPC
chr12_42864000_42866200	7_Enh
chr12_100660400_100663600	1_TssA
chr11_117051200_117051600	7_Enh
chr14_98012400_98013200	9_Het
chr22_34317200_34318800	1_TssA
chr1_158253000_158255200	7_Enh
chr10_50662800_50666800	5_TxWk
chr10_73846800_73847000	7_Enh
chr16_67547400_67551600	7_Enh
chr10_22448400_22459200	15_Quies
chr16_31884800_31886800	1_TssA
chr3_176887800_176888800	6_EnhG
chr12_31731200_31736800	5_TxWk
chr7_14731200_14753600	15_Quies
chr6_14898000_14898600	7_Enh
chr14_89653000_89654200	7_Enh
chr19_36857400_36858200	8_ZNF/Rpts
chr4_42805000_43016800	15_Quies
chr12_68692200_68694200	9_Het
chr16_71261200_71263600	15_Quies
chr12_840600_852000	15_Quies
chr7_75507800_75508000	2_TssAFlnk
chr11_64138200_64140600	5_TxWk
chr10_111756600_111756800	7_Enh
chr2_102983200_102983400	5_TxWk
chr1_79522800_79523600	9_Het
chr3_39369600_39372400	7_Enh
chr5_75009800_75010400	5_TxWk
chr9_126694400_126697800	15_Quies
chr5_98270000_98311200	15_Quies
chr5_71659000_71659400	4_Tx
chr4_154006600_154006800	12_EnhBiv
chr12_25212800_25213000	2_TssAFlnk
chr1_17375600_17377000	4_Tx
chr15_85595200_85600200	15_Quies
chr9_34132000_34171800	15_Quies
chr16_69140800_69141400	2_TssAFlnk
chr2_68954000_68954800	2_TssAFlnk
chrX_17564400_17567800	7_Enh
chr8_22013000_22014400	13_ReprPC
chrX_12478000_12489600	14_ReprPCWk
chr8_37133800_37134200	7_Enh
chr5_149188800_149189400	5_TxWk
chr10_81140000_81148400	14_ReprPCWk
chr10_14622600_14623600	6_EnhG
chr3_149971200_149976400	14_ReprPCWk
chr15_78236800_78237600	1_TssA
chr14_35885200_35886400	2_TssAFlnk
chr6_56727600_56727800	2_TssAFlnk
chr17_61831600_61834400	4_Tx
chr3_169375800_169376400	13_ReprPC
chr3_142079800_142080400	4_Tx
chr10_30298600_30315600	14_ReprPCWk
chr14_31887600_31888400	7_Enh
chr15_101783000_101783200	1_TssA
chr4_174218400_174219200	5_TxWk
chr3_194054000_194054400	11_BivFlnk
chr8_11560800_11561000	10_TssBiv
chr11_114464800_114475200	9_Het
chr2_220486800_220491400	14_ReprPCWk
chr7_7564400_7574000	14_ReprPCWk
chr10_112734000_112741400	8_ZNF/Rpts
chr6_137055800_137056800	6_EnhG
chr19_10946400_10947000	1_TssA
chr12_9541400_9545600	14_ReprPCWk
chr11_71841400_71847400	14_ReprPCWk
chr17_2542800_2544200	5_TxWk
chr10_12389600_12390000	7_Enh
chr14_94482400_94487400	14_ReprPCWk
chr15_65271600_65272400	4_Tx
chr12_133571200_133574400	8_ZNF/Rpts
chr10_120846600_120847200	2_TssAFlnk
chr2_128358800_128361600	9_Het
chr17_46894600_46895200	2_TssAFlnk
chr3_17620800_17622200	2_TssAFlnk
chr1_149856400_149860400	1_TssA
chr11_4415400_4445600	15_Quies
chr2_110377800_110378000	7_Enh
chr17_67289200_67290000	8_ZNF/Rpts
chr10_52299200_52299800	7_Enh
chr8_126267600_126267800	7_Enh
chr20_34189600_34189800	2_TssAFlnk
chrX_50985800_50986800	9_Het
chr2_15731200_15731600	2_TssAFlnk
chrX_48385800_48386200	5_TxWk
chr10_61620000_61620200	2_TssAFlnk
chr11_122527800_122532000	13_ReprPC
chr2_150419200_150420400	7_Enh
chr20_25027200_25027600	5_TxWk
chr7_130633600_130634000	2_TssAFlnk
chr14_74078200_74078400	13_ReprPC
chr11_15712600_15713000	7_Enh
chr12_96375800_96390000	15_Quies
chr10_101427000_101438800	5_TxWk
chr12_9800600_9803000	1_TssA
chr16_56905200_56905600	2_TssAFlnk
chr6_34165000_34165200	10_TssBiv
chr8_26485000_26488400	6_EnhG
chr6_29617200_29618200	1_TssA
chr12_18319200_18319400	7_Enh
chr7_531000_533400	15_Quies
chrX_35401000_35450200	15_Quies
chr1_155484800_155485400	4_Tx
chr4_111263800_111265200	9_Het
chr7_148843200_148843400	2_TssAFlnk
chr1_52290000_52292000	4_Tx
chr1_31239000_31239400	7_Enh
chr10_50776800_50777400	7_Enh
chr6_159162000_159173800	15_Quies
chr2_85667400_85727400	15_Quies
chr14_19016200_19016600	8_ZNF/Rpts
chr20_37930600_37936000	14_ReprPCWk
chr2_192651400_192656600	14_ReprPCWk
chr20_49540400_49543000	3_TxFlnk
chr5_171601800_171604000	2_TssAFlnk
chr11_114274200_114274400	1_TssA
chr4_40876600_40876800	7_Enh
chr20_47423200_47426800	8_ZNF/Rpts
chr18_67871200_67871400	1_TssA
chr21_9959200_9967400	15_Quies
chr2_65487600_65493600	4_Tx
chr9_32979600_32982800	4_Tx
chr7_129263200_129266400	5_TxWk
chr4_190198400_190200600	9_Het
chr12_13350000_13351200	14_ReprPCWk
chr17_28137800_28164000	15_Quies
chr15_75161400_75163800	2_TssAFlnk
chr7_104564000_104573400	15_Quies
chr1_192507600_192507800	7_Enh
chr9_102819200_102820400	6_EnhG
chr2_207218600_207219400	7_Enh
chr2_233665800_233667400	8_ZNF/Rpts
chr5_111290200_111290400	7_Enh
chr6_128580800_128581200	1_TssA
chr13_27347000_27354200	15_Quies
chr14_79920200_79988000	15_Quies
chr11_88078600_88079000	2_TssAFlnk
chr19_30080800_30082600	15_Quies
chr1_39689200_39695800	5_TxWk
chr3_72805800_72806200	2_TssAFlnk
chr10_75011000_75011400	2_TssAFlnk
chr19_38396600_38397200	2_TssAFlnk
chr10_79683200_79684400	5_TxWk
chr16_14438800_14440800	9_Het
chrX_56570400_56573000	9_Het
chr3_17442400_17443400	14_ReprPCWk
chr12_76438400_76440800	5_TxWk
chr13_19693000_19711800	15_Quies
chr9_96934200_96935400	2_TssAFlnk
chr1_32814800_32815200	7_Enh
chr5_140030200_140031000	5_TxWk
chr16_31616000_31616600	9_Het
chr15_90385800_90388800	5_TxWk
chr2_40000000_40000400	2_TssAFlnk
chr12_124155600_124156000	1_TssA
chr14_94947000_94948200	15_Quies
chr8_126095800_126096200	4_Tx
chr6_36381800_36390200	15_Quies
chr13_60693800_60700000	5_TxWk
chr3_2546600_2546800	7_Enh
chr19_36400800_36404600	7_Enh
chr20_23211800_23216400	9_Het
chr15_96433200_96453400	15_Quies
chr5_6704000_6706200	7_Enh
chr3_27248600_27250000	15_Quies
chr10_54723400_54724400	5_TxWk
chr4_133761000_133989600	15_Quies
chr10_89356000_89357000	7_Enh
chrX_76949200_76949600	1_TssA
chr20_11185800_11186400	7_Enh
chr6_27829400_27829600	2_TssAFlnk
chr11_105974000_105992400	15_Quies
chr9_139428200_139428400	3_TxFlnk
chr3_48391600_48398000	14_ReprPCWk
chr10_30732800_30735800	6_EnhG
chr2_113519200_113519800	6_EnhG
chr12_93316200_93317200	5_TxWk
chr4_3205200_3212200	4_Tx
chr18_52790000_52809000	14_ReprPCWk
chr13_30170200_30170600	2_TssAFlnk
chr2_99397600_99399400	9_Het
chr18_13724200_13724600	2_TssAFlnk
chr8_126518400_126524000	7_Enh
chr6_151088800_151093800	5_TxWk
chr16_11101200_11102000	5_TxWk
chrX_153040600_153041800	9_Het
chr15_85221800_85224200	4_Tx
chr15_59979600_59982400	1_TssA
chr2_172952600_172959400	13_ReprPC
chr15_66807000_66811400	4_Tx
chr18_6137400_6152800	15_Quies
chr14_103256200_103256800	6_EnhG
chr6_42655800_42660200	4_Tx
chr19_18553800_18562400	4_Tx
chr1_204430000_204430200	6_EnhG
chr17_9130000_9130600	7_Enh
chr3_107857200_107860800	5_TxWk
chr2_45194600_45200200	15_Quies
chr17_46050600_46050800	5_TxWk
chr10_362400_363200	7_Enh
chr16_14423600_14424400	4_Tx
chr3_183296400_183298000	12_EnhBiv
chr21_46516600_46518200	13_ReprPC
chr9_33823600_33824200	2_TssAFlnk
chr5_90958000_90967800	14_ReprPCWk
chr1_9422400_9423400	7_Enh
chr3_48205000_48212200	4_Tx
chr15_44186200_44222400	15_Quies
chr7_128584000_128585000	3_TxFlnk
chr17_28033600_28034200	1_TssA
chr1_208046800_208047000	7_Enh
chr14_76522400_76526200	5_TxWk
chr6_137833400_137836400	13_ReprPC
chr10_90756200_90757200	2_TssAFlnk
chr3_136383600_136384400	7_Enh
chr8_131075800_131076200	6_EnhG
chr15_100597000_100598800	14_ReprPCWk
chr14_77596200_77596800	13_ReprPC
chr5_10762400_10762800	7_Enh
chr1_23040800_23041000	13_ReprPC
chr9_26868600_26869600	5_TxWk
chr1_36775200_36775400	6_EnhG
chr3_148995000_148995400	2_TssAFlnk
chr17_2141600_2144800	2_TssAFlnk
chr13_24851000_24851400	7_Enh
chr11_115532400_115533000	13_ReprPC
chr17_58180400_58180800	7_Enh
chr11_19103000_19131200	14_ReprPCWk
chr12_63175200_63177200	15_Quies
chr1_156716400_156716600	1_TssA
chr7_26371600_26372600	7_Enh
chr15_100890800_100892400	9_Het
chr7_55142400_55142800	2_TssAFlnk
chr16_89382800_89383200	2_TssAFlnk
chr20_60637600_60637800	2_TssAFlnk
chr1_224949600_224950600	14_ReprPCWk
chr2_48579400_48580400	2_TssAFlnk
chr10_126851600_126876200	15_Quies
chr2_174805800_174806200	7_Enh
chr5_125829600_125833200	5_TxWk
chr11_43758800_43760200	5_TxWk
chr1_155832200_155838400	5_TxWk
chr7_33462600_33463200	7_Enh
chr11_58942600_58943000	1_TssA
chr2_223355000_223357400	8_ZNF/Rpts
chr5_73092000_73092800	7_Enh
chr18_3728600_3768000	15_Quies
chr5_134754000_134764000	14_ReprPCWk
chr19_11085200_11086400	5_TxWk
chr8_128578000_128578200	2_TssAFlnk
chr5_38366800_38404800	14_ReprPCWk
chr12_68569800_68570200	7_Enh
chr17_67115800_67118200	5_TxWk
chr20_61506600_61506800	1_TssA
chr20_13460200_13463600	5_TxWk
chr1_44439200_44439400	6_EnhG
chr5_65892800_65894200	11_BivFlnk
chr4_89513200_89514400	1_TssA
chr1_91385800_91386400	7_Enh
chr2_239165400_239167000	5_TxWk
chr6_170789400_170793000	9_Het
chr11_6550400_6551000	7_Enh
chr1_20425800_20426400	7_Enh
chr17_3631600_3632400	5_TxWk
chr10_71893400_71902600	15_Quies
chr2_172878800_172917200	15_Quies
chr10_30743000_30744600	6_EnhG
chr6_106964800_106967800	1_TssA
chr2_64324400_64325200	4_Tx
chr6_73591800_73592400	5_TxWk
chr1_184813600_184813800	7_Enh
chr11_121319200_121322600	2_TssAFlnk
